OCCUR_DATE,BORO,STATISTICAL_MURDER_FLAG,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
11/15/2021,MANHATTAN,FALSE,18-24,M,BLACK,40.81824518,-73.9379325
11/15/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.66092426,-73.94920187
11/15/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.67737283,-73.90797795
11/15/2021,BRONX,FALSE,18-24,M,WHITE HISPANIC,40.87933075,-73.86849179
11/14/2021,MANHATTAN,TRUE,18-24,M,BLACK,40.79585589,-73.94787095
11/14/2021,QUEENS,FALSE,25-44,M,BLACK,40.76453914,-73.88463111
11/14/2021,BRONX,FALSE,25-44,M,BLACK,40.85890466,-73.87088559
11/13/2021,QUEENS,FALSE,25-44,M,ASIAN / PACIFIC ISLANDER,40.75786836,-73.7889632
11/13/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.79713176,-73.94693813
11/13/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.79713176,-73.94693813
11/13/2021,BRONX,FALSE,18-24,M,BLACK,40.89415146,-73.85426216
11/13/2021,MANHATTAN,FALSE,45-64,M,BLACK,40.80642316,-73.94226374
11/13/2021,BRONX,TRUE,25-44,F,BLACK,40.86071698,-73.89925032
11/13/2021,QUEENS,FALSE,25-44,M,BLACK,40.75786836,-73.7889632
11/13/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.69442326,-73.92698409
11/13/2021,BRONX,FALSE,25-44,M,BLACK HISPANIC,40.84158461,-73.91778364
11/13/2021,BRONX,TRUE,45-64,M,BLACK HISPANIC,40.84158461,-73.91778364
11/13/2021,BRONX,TRUE,25-44,M,BLACK HISPANIC,40.84158461,-73.91778364
11/13/2021,BRONX,FALSE,45-64,M,BLACK HISPANIC,40.84158461,-73.91778364
11/12/2021,BRONX,FALSE,25-44,M,BLACK,40.83582826,-73.83323099
11/12/2021,BRONX,FALSE,18-24,M,WHITE HISPANIC,40.83582826,-73.83323099
11/12/2021,BRONX,FALSE,25-44,M,WHITE HISPANIC,40.83582826,-73.83323099
11/11/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.6813182,-73.95650899
11/11/2021,QUEENS,FALSE,45-64,M,BLACK,40.68057743,-73.78990724
11/11/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.67828525,-73.92466193
11/11/2021,BROOKLYN,FALSE,<18,M,BLACK,40.6813182,-73.95650899
11/11/2021,BRONX,FALSE,25-44,M,BLACK,40.83907838,-73.90323318
11/11/2021,BRONX,FALSE,25-44,M,BLACK,40.81371025,-73.92318281
11/11/2021,BRONX,FALSE,45-64,M,BLACK,40.83367629,-73.92896336
11/11/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.66344526,-73.89756581
